"s","v","x","y","l"
1,0,40,962,0
1,0,500,500,1
2,0,40,962,0
2,0,700,497,2
2,0,299,494,1
2,0,500,500,12
3,0,40,962,0
3,0,730,330,3
3,0,500,724,2
3,0,644,550,23
3,0,270,330,1
3,0,500,296,13
3,0,355,550,12
3,0,500,465,123
4,0,40,962,0
4,0,850,510,4
4,0,664,764,3
4,0,745,630,34
4,0,327,759,2
4,0,740,381,24
4,0,501,657,23
4,0,633,525,234
4,0,150,510,1
4,0,499,162,14
4,0,266,374,13
4,0,385,285,134
4,0,256,634,12
4,0,615,285,124
4,0,369,525,123
4,0,501,392,1234
4,1,40,962,0
4,1,806,405,4
4,1,651,708,3
4,1,701,541,34
4,1,349,708,2
4,1,656,295,24
4,1,499,590,23
4,1,603,430,234
4,1,200,407,1
4,1,498,147,14
4,1,345,292,13
4,1,433,226,134
4,1,300,540,12
4,1,568,226,124
4,1,395,431,123
4,1,499,313,1234
5,0,40,962,0
5,0,217,276,5
5,0,612,177,4
5,0,406,238,45
5,0,823,517,3
5,0,288,353,35
5,0,705,340,34
5,0,378,344,345
5,0,566,823,2
5,0,562,718,25
5,0,556,263,24
5,0,491,281,245
5,0,696,655,23
5,0,603,667,235
5,0,592,348,234
5,0,492,359,2345
5,0,193,678,1
5,0,215,486,15
5,0,287,635,14
5,0,308,545,145
5,0,724,494,13
5,0,283,420,135
5,0,689,436,134
5,0,357,442,1345
5,0,394,746,12
5,0,482,673,125
5,0,350,659,124
5,0,395,594,1245
5,0,655,551,123
5,0,556,606,1235
5,0,615,460,1234
5,0,483,493,12345
5,1,40,962,0
5,1,252,230,5
5,1,655,175,4
5,1,423,225,45
5,1,828,534,3
5,1,286,335,35
5,1,708,331,34
5,1,361,317,345
5,1,542,813,2
5,1,581,707,25
5,1,560,234,24
5,1,469,239,245
5,1,696,634,23
5,1,651,649,235
5,1,601,300,234
5,1,466,302,2345
5,1,186,623,1
5,1,234,463,15
5,1,298,630,14
5,1,302,550,145
5,1,742,461,13
5,1,262,424,135
5,1,708,378,134
5,1,320,448,1345
5,1,403,716,12
5,1,504,679,125
5,1,374,678,124
5,1,414,630,1245
5,1,692,524,123
5,1,616,598,1235
5,1,649,395,1234
5,1,493,474,12345
6,0,40,962,0
6,0,165,220,6
6,0,549,80,5
6,0,394,136,56
6,0,841,243,4
6,0,255,201,46
6,0,703,197,45
6,0,324,196,456
6,0,900,597,3
6,0,169,299,36
6,0,827,617,35
6,0,413,170,356
6,0,830,346,34
6,0,244,265,346
6,0,716,263,345
6,0,346,234,3456
6,0,550,900,2
6,0,620,834,26
6,0,575,145,25
6,0,521,168,256
6,0,494,858,24
6,0,540,817,246
6,0,632,203,245
6,0,577,219,2456
6,0,750,760,23
6,0,642,785,236
6,0,778,650,235
6,0,467,192,2356
6,0,772,348,234
6,0,568,779,2346
6,0,689,298,2345
6,0,516,245,23456
6,0,100,693,1
6,0,119,448,16
6,0,188,732,15
6,0,159,452,156
6,0,128,601,14
6,0,147,537,146
6,0,178,641,145
6,0,192,538,1456
6,0,854,515,13
6,0,182,356,136
6,0,805,555,135
6,0,199,410,1356
6,0,813,456,134
6,0,249,316,1346
6,0,775,503,1345
6,0,260,380,13456
6,0,332,850,12
6,0,336,795,126
6,0,247,734,125
6,0,303,744,1256
6,0,439,834,124
6,0,440,786,1246
6,0,235,663,1245
6,0,307,656,12456
6,0,719,725,123
6,0,658,733,1236
6,0,737,622,1235
6,0,670,664,12356
6,0,761,404,1234
6,0,544,746,12346
6,0,714,456,12345
6,0,484,487,123456
7,0,40,962,0
7,0,106,542,7
7,0,220,218,6
7,0,190,386,67
7,0,558,104,5
7,0,167,478,57
7,0,403,183,56
7,0,218,426,567
7,0,855,293,4
7,0,177,597,47
7,0,323,220,46
7,0,347,259,467
7,0,698,220,45
7,0,205,533,457
7,0,391,228,456
7,0,386,274,4567
7,0,892,655,3
7,0,847,566,37
7,0,234,308,36
7,0,238,375,367
7,0,617,183,35
7,0,802,559,357
7,0,602,226,356
7,0,258,411,3567
7,0,849,477,34
7,0,812,506,347
7,0,300,288,346
7,0,346,301,3467
7,0,653,240,345
7,0,771,530,3457
7,0,613,266,3456
7,0,386,320,34567
7,0,634,893,2
7,0,559,846,27
7,0,672,811,26
7,0,604,797,267
7,0,496,167,25
7,0,496,213,257
7,0,442,214,256
7,0,475,251,2567
7,0,830,387,24
7,0,223,585,247
7,0,652,770,246
7,0,617,758,2467
7,0,787,404,245
7,0,242,553,2457
7,0,427,250,2456
7,0,441,290,24567
7,0,745,754,23
7,0,549,802,237
7,0,699,743,236
7,0,569,764,2367
7,0,553,206,235
7,0,524,237,2357
7,0,570,248,2356
7,0,524,279,23567
7,0,806,454,234
7,0,780,483,2347
7,0,655,726,2346
7,0,603,717,23467
7,0,763,438,2345
7,0,739,486,23457
7,0,580,294,23456
7,0,491,333,234567
7,0,288,851,1
7,0,219,682,17
7,0,273,758,16
7,0,266,684,167
7,0,379,826,15
7,0,215,481,157
7,0,341,759,156
7,0,252,460,1567
7,0,764,282,14
7,0,240,637,147
7,0,734,312,146
7,0,280,645,1467
7,0,699,271,145
7,0,244,507,1457
7,0,692,318,1456
7,0,285,486,14567
7,0,807,678,13
7,0,796,613,137
7,0,269,333,136
7,0,283,371,1367
7,0,391,784,135
7,0,774,580,1357
7,0,381,746,1356
7,0,296,426,13567
7,0,762,658,134
7,0,746,620,1347
7,0,304,328,1346
7,0,335,356,13467
7,0,659,282,1345
7,0,731,570,13457
7,0,637,319,13456
7,0,358,415,134567
7,0,464,849,12
7,0,497,809,127
7,0,302,719,126
7,0,310,679,1267
7,0,443,803,125
7,0,474,775,1257
7,0,345,710,1256
7,0,355,669,12567
7,0,770,353,124
7,0,267,597,1247
7,0,730,348,1246
7,0,315,623,12467
7,0,745,395,1245
7,0,285,548,12457
7,0,695,372,12456
7,0,347,570,124567
7,0,735,703,123
7,0,520,770,1237
7,0,697,700,1236
7,0,540,728,12367
7,0,429,758,1235
7,0,480,734,12357
7,0,402,708,12356
7,0,459,672,123567
7,0,719,659,1234
7,0,700,620,12347
7,0,666,671,12346
7,0,604,650,123467
7,0,719,430,12345
7,0,687,525,123457
7,0,629,379,123456
7,0,513,509,1234567
